Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19455.64,233467.68,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,893.52,10722.24,USD,"Tenancy (Shared Instances), Operating system (Linux), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 12), Enable disabled, Advance EC2 instance (a1.xlarge), Pricing strategy (), Snapshot Frequency (No snapshot storage)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,131.96,1583.52,USD,Number of NAT Gateways (4)
My Estimate,US East (N. Virginia),,Gateway Load Balancer,0,98.55,1182.60,USD,"Number of Availability Zones that Gateway Load Balancer is deployed to (4), Number of Gateway Load Balancer Endpoints (1), Average number of new connections/flows (5 per minute), Average connection/flow duration (300 seconds), Total processed bytes (10 GB per hour)"
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,3183.24,38198.88,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (302 GB), Nodes (4), Instance Type (db.m1.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,136.87,1642.44,USD,Number of Application Load Balancers (3)
My Estimate,US East (N. Virginia),,S3 Standard,0,11.5,138.00,USD,S3 Standard storage (500 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
Global,All,Enterprise support plan,AWS Support,0,15000 ,180000.00,USD,"Supports 24/7 phone, chat, and email access to Cloud Support Engineers for unlimited contacts, with and a response time of less than 15 minutes."



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
