Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0.01506,4882.38,58588.58,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,1283.36,15400.32,USD,"Tenancy (Shared Instances), Operating system (Linux), DT Inbound: All other regions (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 8), Enable enabled, Advance EC2 instance (a1.2xlarge), Pricing strategy (), Storage amount (20 GB), Snapshot Frequency (Daily), Amount changed per snapshot (10 GB)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,53.470000000000006,641.64,USD,Number of Application Load Balancers (3)
My Estimate,US East (N. Virginia),,VPN Connection,0,0,0.00,USD,Working days per month (22)
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,35.1,421.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Gateway Load Balancer,0,14,168.00,USD,"Number of Availability Zones that Gateway Load Balancer is deployed to (1), Number of Gateway Load Balancer Endpoints (1), Average number of new connections/flows (1000 per second)"
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,3045.6,36547.20,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (200 GB), Nodes (4), Instance Type (db.m1.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
My Estimate,US East (N. Virginia),,S3 Standard,0.01506,1.15,13.82,USD,"S3 Standard storage (50 GB per month), S3 Standard Average Object Size (17 MB)"
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,5.85,70.20,USD,"Data transfer out to internet (10 GB per month), Number of requests (HTTPS) (5000000 per month)"
Global,All,Business support plan,AWS Support,0,443.85 ,5326.20,USD,"Supports 24/7 phone, chat, and email access to Cloud Support Engineers for unlimited contacts, with and a response time of less than 1 hour."



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
